iter	Passed	Remaining
0	19	5863
1	31	4653
2	42	4164
3	53	3955
4	64	3794
5	74	3665
6	85	3574
7	96	3520
8	107	3478
9	118	3444
10	129	3415
11	140	3382
12	151	3352
13	162	3326
14	174	3308
15	185	3290
16	196	3275
17	207	3255
18	219	3243
19	230	3232
20	242	3219
21	253	3207
22	265	3199
23	276	3182
24	287	3166
25	299	3152
26	310	3138
27	321	3120
28	331	3098
29	341	3077
30	352	3056
31	364	3049
32	375	3036
33	386	3021
34	396	3005
35	407	2991
36	418	2974
37	428	2956
38	439	2940
39	450	2925
40	460	2911
41	472	2899
42	483	2886
43	494	2875
44	504	2861
45	515	2847
46	526	2836
47	538	2826
48	549	2815
49	561	2806
50	572	2794
51	583	2783
52	594	2770
53	606	2761
54	617	2749
55	628	2736
56	639	2724
57	650	2714
58	661	2701
59	671	2687
60	683	2676
61	694	2667
62	706	2656
63	717	2646
64	729	2635
65	740	2624
66	752	2615
67	763	2605
68	775	2594
69	785	2582
70	796	2568
71	807	2556
72	818	2544
73	829	2534
74	840	2522
75	852	2511
76	863	2499
77	873	2486
78	884	2474
79	895	2462
80	906	2451
81	918	2441
82	929	2429
83	939	2416
84	950	2403
85	960	2391
86	972	2381
87	983	2369
88	995	2359
89	1005	2346
90	1016	2334
91	1027	2323
92	1038	2310
93	1048	2298
94	1059	2286
95	1070	2275
96	1081	2263
97	1092	2251
98	1102	2239
99	1113	2227
100	1124	2215
101	1135	2203
102	1146	2192
103	1157	2182
104	1169	2171
105	1184	2167
106	1196	2158
107	1207	2147
108	1219	2136
109	1230	2126
110	1241	2114
111	1252	2102
112	1263	2091
113	1274	2079
114	1285	2067
115	1296	2056
116	1307	2044
117	1317	2031
118	1327	2019
119	1338	2008
120	1354	2003
121	1370	1999
122	1387	1996
123	1402	1990
124	1419	1986
125	1437	1985
126	1450	1976
127	1461	1964
128	1472	1952
129	1484	1941
130	1495	1929
131	1506	1917
132	1517	1905
133	1528	1893
134	1539	1881
135	1550	1869
136	1561	1858
137	1573	1846
138	1585	1836
139	1596	1824
140	1608	1813
141	1619	1801
142	1631	1790
143	1642	1779
144	1654	1768
145	1666	1757
146	1677	1746
147	1689	1734
148	1700	1723
149	1713	1713
150	1724	1701
151	1735	1689
152	1746	1678
153	1757	1666
154	1768	1654
155	1780	1643
156	1792	1632
157	1803	1621
158	1815	1609
159	1826	1597
160	1837	1586
161	1848	1574
162	1860	1563
163	1871	1551
164	1881	1539
165	1892	1527
166	1903	1516
167	1914	1504
168	1925	1492
169	1936	1481
170	1948	1469
171	1959	1458
172	1971	1447
173	1982	1435
174	1993	1424
175	2004	1412
176	2015	1400
177	2026	1389
178	2038	1377
179	2049	1366
180	2060	1354
181	2071	1343
182	2083	1332
183	2094	1320
184	2106	1309
185	2118	1298
186	2129	1286
187	2140	1275
188	2151	1263
189	2162	1251
190	2173	1240
191	2184	1228
192	2196	1217
193	2207	1205
194	2219	1194
195	2230	1183
196	2242	1172
197	2253	1160
198	2264	1149
199	2276	1138
200	2287	1126
201	2298	1115
202	2310	1103
203	2321	1092
204	2332	1080
205	2342	1068
206	2354	1057
207	2365	1046
208	2376	1034
209	2387	1023
210	2398	1011
211	2408	999
212	2420	988
213	2430	976
214	2441	965
215	2452	953
216	2463	942
217	2475	931
218	2486	919
219	2497	908
220	2509	897
221	2521	885
222	2533	874
223	2544	863
224	2555	851
225	2566	840
226	2577	828
227	2587	817
228	2599	805
229	2610	794
230	2621	783
231	2632	771
232	2643	760
233	2654	748
234	2666	737
235	2678	726
236	2689	714
237	2701	703
238	2712	692
239	2724	681
240	2737	670
241	2751	659
242	2765	648
243	2778	637
244	2791	626
245	2804	615
246	2818	604
247	2830	593
248	2843	582
249	2856	571
250	2869	560
251	2882	549
252	2895	537
253	2908	526
254	2920	515
255	2933	504
256	2946	493
257	2959	481
258	2971	470
259	2981	458
260	2993	447
261	3003	435
262	3015	424
263	3026	412
264	3036	401
265	3048	389
266	3058	378
267	3069	366
268	3081	355
269	3092	343
270	3103	332
271	3114	320
272	3124	309
273	3136	297
274	3147	286
275	3158	274
276	3169	263
277	3180	251
278	3191	240
279	3202	228
280	3213	217
281	3223	205
282	3234	194
283	3245	182
284	3255	171
285	3266	159
286	3277	148
287	3288	137
288	3298	125
289	3309	114
290	3320	102
291	3331	91
292	3342	79
293	3354	68
294	3364	57
295	3376	45
296	3387	34
297	3399	22
298	3410	11
299	3422	0
